episode,total_reward,steps,termination
0,-30,30,timeout
1,0,11,goal
2,-30,30,timeout
3,-30,30,timeout
4,-30,30,timeout
5,-30,30,timeout
6,-30,30,timeout
7,-30,30,timeout
8,-30,30,timeout
9,-30,30,timeout
10,-30,30,timeout
11,-9,20,goal
12,-30,30,timeout
13,-30,30,timeout
14,-30,30,timeout
15,-16,27,goal
16,-30,30,timeout
17,-30,30,timeout
18,-30,30,timeout
19,-30,30,timeout
20,-30,30,timeout
21,-30,30,timeout
22,-30,30,timeout
23,-30,30,timeout
24,-3,14,goal
25,-30,30,timeout
26,-30,30,timeout
27,-30,30,timeout
28,-30,30,timeout
29,-18,29,goal
30,-30,30,timeout
31,-30,30,timeout
32,-2,13,goal
33,-18,29,goal
34,-30,30,timeout
35,-30,30,timeout
36,-30,30,timeout
37,-30,30,timeout
38,-30,30,timeout
39,-8,19,goal
40,-30,30,timeout
41,-30,30,timeout
42,-30,30,timeout
43,-12,23,goal
44,-30,30,timeout
45,-30,30,timeout
46,-30,30,timeout
47,-30,30,timeout
48,-30,30,timeout
49,-30,30,timeout
50,-30,30,timeout
51,-30,30,timeout
52,-30,30,timeout
53,-30,30,timeout
54,-30,30,timeout
55,-30,30,timeout
56,-8,19,goal
57,-30,30,timeout
58,-30,30,timeout
59,-30,30,timeout
60,-11,22,goal
61,-30,30,timeout
62,-30,30,timeout
63,-30,30,timeout
64,-9,20,goal
65,-30,30,timeout
66,-30,30,timeout
67,-30,30,timeout
68,-18,29,goal
69,-30,30,timeout
70,-30,30,timeout
71,-30,30,timeout
72,-30,30,timeout
73,-30,30,timeout
74,-30,30,timeout
75,-30,30,timeout
76,-30,30,timeout
77,-30,30,timeout
78,-30,30,timeout
79,-30,30,timeout
